country,year,iso_code,population,gdp,co2,co2_per_capita,consumption_co2,consumption_co2_per_capita,cumulative_co2,share_global_co2,share_global_cumulative_co2,share_population,fair_share_ratio,trade_gap_pct,times_world_avg
Bahrain,2023,BHR,1569674.0,,38.787,24.71,22.064,14.056,1073.189,0.102,0.059,0.019398485157966557,3.0414746058544635,-43.11496119833965,5.248513169073917
Bangladesh,2023,BGD,171466986.0,,104.527,0.61,167.859,0.979,1892.648,0.274,0.105,2.1190385920912616,0.049550772879684256,60.58913008122304,0.12956669498725573
Barbados,2023,BRB,282347.0,,1.317,4.664,,,62.51,0.003,0.003,0.0034893258656870044,0.8597649275182665,,0.9906542056074765
Belarus,2023,BLR,9115679.0,,55.736,6.114,62.548,6.862,5128.413,0.146,0.283,0.11265419684997485,2.5121123572242943,12.221903258217319,1.2986406117247238
Belgium,2023,BEL,11712891.0,,84.703,7.232,196.605,16.785,12820.729,0.222,0.708,0.1447512937211039,4.891147994601845,132.11102322231795,1.5361087510620222
Belize,2023,BLZ,411112.0,,0.766,1.864,,,21.722,0.002,0.001,0.005080640967654396,0.19682555928797993,,0.3959218351741716
Benin,2023,BEN,14111035.0,,5.928,0.42,8.434,0.598,122.316,0.016,0.007,0.17438825068838917,0.04014031892841312,42.27395411605937,0.08920985556499575
Bermuda,2023,BMU,64721.0,,0.53,8.184,,,30.475,0.001,0.002,0.0007998408318598343,2.50049749942059,,1.7383177570093455
Bhutan,2023,BTN,786386.0,,1.63,2.072,,,28.14,0.004,0.002,0.009718385568871427,0.20579549821588888,,0.44010195412064573
Bolivia,2023,BOL,12244161.0,,24.621,2.011,25.628,2.093,612.476,0.065,0.034,0.15131688199604054,0.22469402984981987,4.090004467730806,0.42714528462192014
Bonaire Sint Eustatius and Saba,2023,BES,29920.0,,0.146,4.889,,,10.475,0.0,0.001,0.00036976001126753666,2.70445686263369,,1.038445199660153
Bosnia and Herzegovina,2023,BIH,3185072.0,,19.881,6.242,,,1024.062,0.052,0.057,0.039362040728874184,1.448095651153255,,1.3258283772302464
Botswana,2023,BWA,2480242.0,,7.249,2.923,14.509,5.85,176.874,0.019,0.01,0.03065154778964631,0.3262477989244598,100.15174506828531,0.620858113848768
Brazil,2023,BRA,211140731.0,,483.992,2.292,469.989,2.226,17715.695,1.271,0.978,2.6093382043314146,0.37480768049789503,-2.8932296401593502,0.48683092608326245
British Virgin Islands,2023,VGB,39009.0,,0.185,4.752,,,6.069,0.0,0.0,0.0004820845013213682,0.0,,1.0093457943925233
Brunei,2023,BRN,458959.0,,12.503,27.241,8.876,19.34,415.71,0.033,0.023,0.005671948028453788,4.055044207848631,-29.009037830920587,5.786108751062022
Bulgaria,2023,BGR,6795805.0,,34.501,5.077,35.31,5.196,3952.575,0.091,0.218,0.08398452317419726,2.595716350592755,2.34485956928786,1.078377230246389
Burkina Faso,2023,BFA,23025777.0,,6.308,0.274,5.801,0.252,89.282,0.017,0.005,0.28455920999210516,0.017571035568093966,-8.037412809131258,0.05819881053525913
Burundi,2023,BDI,13689455.0,,0.901,0.066,,,15.771,0.002,0.001,0.16917824314994773,0.005910925550359748,,0.014018691588785047
Cambodia,2023,KHM,17423884.0,,21.412,1.229,39.064,2.242,229.727,0.056,0.013,0.21532939652955385,0.06037262078248455,82.43975340930321,0.26104502973661853
Cameroon,2023,CMR,28372690.0,,9.695,0.342,10.384,0.366,299.614,0.025,0.017,0.3506379068880456,0.04848306377047789,7.106756059824653,0.07264231096006797
Canada,2023,CAN,39299098.0,,545.479,13.88,519.943,13.23,35110.789,1.432,1.939,0.48566961628623084,3.992425992852813,-4.6813901176764015,2.948173322005098
Cape Verde,2023,CPV,522335.0,,0.571,1.094,,,16.323,0.002,0.001,0.006455166961411389,0.15491466076368615,,0.23237043330501275
Central African Republic,2023,CAF,5152415.0,,0.389,0.076,,,11.946,0.001,0.001,0.06367503437349682,0.015704742209235862,,0.01614273576890399
Chad,2023,TCD,19319075.0,,2.848,0.147,,,48.512,0.007,0.003,0.23875071489566796,0.012565407401234274,,0.03122344944774851
Chile,2023,CHL,19658833.0,,77.604,3.948,88.157,4.484,3246.126,0.204,0.179,0.24294954249955286,0.7367785020641866,13.59852584918303,0.8385726423109601
China,2023,CHN,1422584930.0,,12172.009,8.556,10857.025,7.632,272798.0,31.953,15.067,17.58071590059585,0.8570185699599039,-10.803343967294145,1.8173322005097703
Christmas Island,2023,CXR,,,0.0,,,,1.33,0.0,0.0,,,,
Colombia,2023,COL,52321152.0,,89.992,1.72,104.465,1.997,3709.388,0.236,0.205,0.6465999249014204,0.31704303094568714,16.0825406702818,0.36533559898045875
Comoros,2023,COM,850390.0,,0.542,0.638,,,6.962,0.001,0.0,0.010509365507413118,0.0,,0.13551401869158877
Congo,2023,COG,6182890.0,,8.274,1.338,,,182.238,0.022,0.01,0.07640994238188302,0.13087302107913937,,0.28419711129991504
Cook Islands,2023,COK,14244.0,,0.077,5.376,,,2.605,0.0,0.0,0.00017603147060477246,0.0,,1.1418861512319456
Costa Rica,2023,CRI,5105526.0,,8.473,1.659,14.692,2.878,277.043,0.022,0.015,0.06309556655369991,0.23773461146804462,73.39785200047207,0.3523789294817332
Cote d'Ivoire,2023,CIV,31165653.0,,14.052,0.451,17.865,0.573,385.282,0.037,0.021,0.38515415121791907,0.05452362368053061,27.134927412467967,0.09579439252336448
Croatia,2023,HRV,3896023.0,,18.468,4.74,23.711,6.086,1166.224,0.048,0.064,0.04814817875596865,1.329229924238127,28.389646956898414,1.0067969413763806
Cuba,2023,CUB,11019932.0,,23.47,2.13,,,1789.671,0.062,0.099,0.13618750603233584,0.7269389306277025,,0.45242141036533556
Curacao,2023,CUW,185437.0,,2.205,11.89,,,529.684,0.006,0.029,0.0022916840644859023,12.654449384804543,,2.5254885301614274
Cyprus,2023,CYP,1344981.0,,7.188,5.344,8.624,6.412,314.253,0.019,0.017,0.016621664094740064,1.0227616141863716,19.977740678909306,1.135089209855565
Czechia,2023,CZE,10809722.0,,83.232,7.7,100.025,9.253,12256.162,0.218,0.677,0.13358967007082015,5.067757107575015,20.17613417916187,1.6355140186915889
Democratic Republic of Congo,2023,COD,105789733.0,,5.881,0.056,,,232.795,0.015,0.013,1.3073801091600834,0.009943550394346868,,0.0118946474086661
Denmark,2023,DNK,5948134.0,,28.831,4.847,49.471,8.317,4171.292,0.076,0.23,0.07350875985497386,3.1288787955853046,71.5896084076168,1.0295242141036534
Djibouti,2023,DJI,1152951.0,,0.558,0.484,,,20.557,0.001,0.001,0.01424850182991035,0.07018281724895507,,0.102803738317757
Dominica,2023,DMA,66531.0,,0.165,2.473,,,5.323,0.0,0.0,0.0008222093352152567,0.0,,0.5252761257434154
Dominican Republic,2023,DOM,11331269.0,,31.829,2.809,40.438,3.569,836.023,0.084,0.046,0.140035098700384,0.32848907471705063,27.04766093813818,0.596644010195412
East Timor,2023,TLS,1384292.0,,0.637,0.46,,,11.469,0.002,0.001,0.017107480799383717,0.05845396009656923,,0.09770603228547153
Ecuador,2023,ECU,17980079.0,,44.6,2.481,48.898,2.72,1345.216,0.117,0.074,0.22220301516147054,0.33302878426841176,9.636771300448434,0.5269753610875105
Egypt,2023,EGY,114535772.0,,250.23,2.185,253.428,2.213,7213.122,0.657,0.398,1.4154661880098933,0.2811794470057791,1.278024217719701,0.4641036533559898
El Salvador,2023,SLV,6309629.0,,8.67,1.374,11.255,1.784,255.602,0.023,0.014,0.07797621959003931,0.17954191769753816,29.815455594002316,0.29184367034834324
Equatorial Guinea,2023,GNQ,1847556.0,,6.913,3.742,,,156.373,0.018,0.009,0.0228326312626138,0.39417270381520236,,0.7948173322005098
Eritrea,2023,ERI,3470391.0,,0.731,0.211,,,18.36,0.002,0.001,0.04288809542990501,0.023316493539200626,,0.04481733220050977
